algo	FS	ONTO	hier1	hier2	p-value	hier1-hier2
mlp	PCA	MF	GPAV	HTD	0.0	-0.09028266193865388
naive_bayes	PCA	MF	flat	TPR-TF	1e-05	0.01677471266872819
naive_bayes	PCA	MF	flat	ISO-TPR-TF	2e-05	0.01733607031379975
naive_bayes	PCA	MF	flat	GPAV	0.0	0.024961520405594847
naive_bayes	PCA	MF	TPR-TF	GPAV	0.00039	0.00818680773686666
naive_bayes	PCA	MF	TPR-TF	HTD	0.0	-0.024844493277998966
naive_bayes	PCA	MF	ISO-TPR-TF	HTD	0.0	-0.02540585092307052
naive_bayes	PCA	MF	GPAV	HTD	0.0	-0.03303130101486563
ranger	PCA	MF	flat	TPR-TF	0.0	-0.010809420238144145
ranger	PCA	MF	flat	ISO-TPR-TF	0.0	-0.00887990261268652
ranger	PCA	MF	flat	GPAV	0.0	-0.009946804725480035
